"Kuukausi","Kaikki yhteensä","Suomi","Ulkomaat"
"1995M01",75224,46170,29054
"1995M02",132014,98064,33950
"1995M03",187476,145824,41652
"1995M04",207620,189277,18343
"1995M05",50650,40813,9837
"1995M06",161327,72194,89133
"1995M07",246195,131301,114894
"1995M08",146841,92585,54256
"1995M09",143371,132628,10743
"1995M10",46741,39205,7536
"1995M11",70327,51481,18846
"1995M12",109009,58365,50644
"1996M01",72844,44918,27926
"1996M02",120638,88161,32477
"1996M03",177710,140205,37505
"1996M04",192789,177274,15515
"1996M05",52894,42716,10178
"1996M06",131817,66937,64880
"1996M07",200726,109338,91388
"1996M08",132348,88187,44161
"1996M09",150013,139842,10171
"1996M10",52839,45603,7236
"1996M11",79970,56899,23071
"1996M12",108010,56999,51011
"1997M01",79214,46807,32407
"1997M02",124575,89137,35438
"1997M03",201609,162486,39123
"1997M04",184030,167922,16108
"1997M05",68924,59277,9647
"1997M06",126565,71468,55097
"1997M07",190897,113537,77360
"1997M08",140043,94259,45784
"1997M09",154029,143456,10573
"1997M10",49504,41687,7817
"1997M11",84510,58474,26036
"1997M12",120168,61835,58333
"1998M01",97090,53338,43752
"1998M02",137927,97388,40539
"1998M03",197855,155090,42765
"1998M04",218167,196450,21717
"1998M05",66075,54745,11330
"1998M06",125914,73052,52862
"1998M07",220750,137494,83256
"1998M08",151090,101116,49974
"1998M09",149565,136870,12695
"1998M10",56006,47847,8159
"1998M11",88199,63132,25067
"1998M12",135357,71557,63800
"1999M01",95777,53689,42088
"1999M02",133802,87955,45847
"1999M03",206951,163206,43745
"1999M04",230587,206366,24221
"1999M05",56197,47211,8986
"1999M06",126240,70718,55522
"1999M07",211272,130310,80962
"1999M08",142969,95206,47763
"1999M09",159076,146040,13036
"1999M10",54913,47236,7677
"1999M11",83368,58800,24568
"1999M12",153091,73563,79528
"2000M01",112433,54914,57519
"2000M02",149240,97437,51803
"2000M03",216777,164545,52232
"2000M04",230360,205538,24822
"2000M05",57796,49118,8678
"2000M06",126503,70054,56449
"2000M07",196786,114037,82749
"2000M08",138449,89844,48605
"2000M09",158244,143721,14523
"2000M10",46090,39490,6600
"2000M11",81601,57372,24229
"2000M12",176007,64781,111226
"2001M01",124937,51500,73437
"2001M02",157836,91826,66010
"2001M03",221225,156433,64792
"2001M04",213117,187268,25849
"2001M05",50872,42358,8514
"2001M06",130244,73306,56938
"2001M07",195028,112426,82602
"2001M08",144143,93513,50630
"2001M09",160847,147222,13625
"2001M10",50895,42531,8364
"2001M11",82311,57345,24966
"2001M12",170723,67297,103426
"2002M01",123721,46199,77522
"2002M02",154302,84591,69711
"2002M03",237091,164365,72726
"2002M04",197243,166969,30274
"2002M05",48551,38025,10526
"2002M06",138141,76931,61210
"2002M07",214065,119999,94066
"2002M08",145101,93617,51484
"2002M09",162802,145583,17219
"2002M10",50953,41411,9542
"2002M11",83367,55550,27817
"2002M12",184363,55074,129289
"2003M01",138278,44256,94022
"2003M02",173141,90026,83115
"2003M03",242498,159830,82668
"2003M04",213272,183249,30023
"2003M05",50325,40236,10089
"2003M06",145197,82810,62387
"2003M07",224181,131010,93171
"2003M08",156161,94241,61920
"2003M09",162667,144701,17966
"2003M10",56090,46557,9533
"2003M11",94334,63126,31208
"2003M12",208792,58067,150725
"2004M01",147059,49338,97721
"2004M02",201153,106643,94510
"2004M03",255155,177237,77918
"2004M04",206059,175536,30523
"2004M05",48222,37083,11139
"2004M06",138336,76889,61447
"2004M07",226749,135063,91686
"2004M08",162268,107150,55118
"2004M09",162884,149068,13816
"2004M10",52532,44694,7838
"2004M11",88040,59545,28495
"2004M12",223983,56454,167529
"2005M01",166152,56397,109755
"2005M02",196537,98634,97903
"2005M03",292229,198245,93984
"2005M04",208919,179617,29302
"2005M05",46934,35380,11554
"2005M06",136884,78508,58376
"2005M07",225762,137909,87853
"2005M08",164390,101987,62403
"2005M09",171234,154683,16551
"2005M10",57248,47512,9736
"2005M11",94087,58785,35302
"2005M12",244273,65076,179197
"2006M01",171706,52949,118757
"2006M02",202842,103497,99345
"2006M03",278281,190861,87420
"2006M04",240600,211868,28732
"2006M05",45019,34947,10072
"2006M06",144189,86004,58185
"2006M07",235353,141649,93704
"2006M08",164939,103501,61438
"2006M09",179060,160475,18585
"2006M10",65449,54586,10863
"2006M11",105454,71075,34379
"2006M12",286461,78584,207877
"2007M01",201297,64553,136744
"2007M02",221429,114063,107366
"2007M03",313118,209953,103165
"2007M04",229293,192492,36801
"2007M05",47509,37524,9985
"2007M06",154819,97296,57523
"2007M07",243508,153123,90385
"2007M08",169294,109778,59516
"2007M09",186735,169369,17366
"2007M10",69886,58075,11811
"2007M11",104359,68546,35813
"2007M12",305917,80883,225034
"2008M01",214781,61391,153390
"2008M02",262084,130574,131510
"2008M03",346866,227170,119696
"2008M04",213530,179108,34422
"2008M05",62374,49528,12846
"2008M06",162057,98686,63371
"2008M07",230969,149765,81204
"2008M08",166669,113400,53269
"2008M09",194097,177709,16388
"2008M10",73966,61835,12131
"2008M11",113858,77271,36587
"2008M12",307179,90232,216947
"2009M01",216420,69886,146534
"2009M02",244738,131740,112998
"2009M03",299821,205017,94804
"2009M04",251907,216992,34915
"2009M05",55534,44853,10681
"2009M06",145670,96340,49330
"2009M07",215756,143846,71910
"2009M08",171481,121728,49753
"2009M09",189493,176368,13125
"2009M10",67711,57372,10339
"2009M11",102197,66400,35797
"2009M12",272425,87909,184516
"2010M01",196254,69290,126964
"2010M02",215556,107260,108296
"2010M03",312305,217949,94356
"2010M04",241151,213394,27757
"2010M05",49056,37629,11427
"2010M06",141990,88495,53495
"2010M07",229924,148899,81025
"2010M08",179326,121438,57888
"2010M09",202999,187688,15311
"2010M10",73945,62996,10949
"2010M11",114014,73716,40298
"2010M12",269412,87484,181928
"2011M01",203320,67159,136161
"2011M02",214803,103319,111484
"2011M03",334983,223490,111493
"2011M04",238694,206539,32155
"2011M05",53226,39840,13386
"2011M06",142385,89751,52634
"2011M07",245130,159582,85548
"2011M08",185747,123318,62429
"2011M09",201669,183373,18296
"2011M10",78585,65418,13167
"2011M11",111017,68236,42781
"2011M12",277329,80079,197250
"2012M01",239249,73022,166227
"2012M02",249033,104801,144232
"2012M03",343364,224444,118920
"2012M04",220424,184857,35567
"2012M05",56112,39354,16758
"2012M06",166971,104480,62491
"2012M07",233395,151595,81800
"2012M08",178960,124731,54229
"2012M09",199003,175511,23492
"2012M10",80568,61449,19119
"2012M11",126081,69196,56885
"2012M12",306326,90608,215718
"2013M01",231048,59230,171818
"2013M02",257414,107440,149974
"2013M03",363282,221992,141290
"2013M04",210766,177878,32888
"2013M05",61779,40634,21145
"2013M06",148809,96997,51812
"2013M07",233218,160215,73003
"2013M08",172662,120993,51669
"2013M09",200599,174879,25720
"2013M10",78979,58362,20617
"2013M11",127045,71932,55113
"2013M12",317503,85488,232015
"2014M01",231794,66305,165489
"2014M02",255310,113040,142270
"2014M03",336381,205369,131012
"2014M04",219616,183907,35709
"2014M05",58273,39358,18915
"2014M06",144130,91879,52251
"2014M07",226644,153154,73490
"2014M08",172666,120575,52091
"2014M09",191534,170125,21409
"2014M10",70595,54460,16135
"2014M11",125276,71840,53436
"2014M12",322042,82289,239753
"2015M01",211258,63029,148229
"2015M02",262093,107750,154343
"2015M03",313130,195200,117930
"2015M04",210290,174307,35983
"2015M05",59256,39008,20248
"2015M06",151898,95415,56483
"2015M07",226543,148640,77903
"2015M08",173322,118030,55292
"2015M09",194250,168357,25893
"2015M10",81754,64105,17649
"2015M11",122945,71849,51096
"2015M12",350108,84369,265739
"2016M01",241543,74345,167198
"2016M02",304405,107742,196663
"2016M03",373415,224499,148916
"2016M04",215853,180754,35099
"2016M05",55687,40502,15185
"2016M06",149943,96452,53491
"2016M07",252926,175964,76962
"2016M08",192005,132228,59777
"2016M09",214059,186978,27081
"2016M10",88130,63396,24734
"2016M11",155260,84887,70373
"2016M12",423624,85414,338210
"2017M01",310089,71163,238926
"2017M02",348623,102916,245707
"2017M03",389129,207981,181148
"2017M04",253903,204150,49753
"2017M05",63244,39877,23367
"2017M06",148505,88480,60025
"2017M07",262182,168801,93381
"2017M08",193820,127677,66143
"2017M09",208560,176177,32383
"2017M10",94816,64911,29905
"2017M11",170874,81933,88941
"2017M12",465328,95316,370012
"2018M01",328014,73736,254278
"2018M02",374198,106651,267547
"2018M03",414879,204408,210471
"2018M04",243074,192169,50905
"2018M05",61321,44257,17064
"2018M06",147471,93287,54184
"2018M07",258207,175466,82741
"2018M08",194539,127094,67445
"2018M09",209038,178249,30789
"2018M10",102883,69053,33830
"2018M11",172773,77812,94961
"2018M12",489440,90160,399280
"2019M01",342531,74327,268204
"2019M02",388002,103777,284225
"2019M03",412211,192494,219717
"2019M04",251445,198792,52653
"2019M05",89267,51584,37683
"2019M06",167975,107618,60357
"2019M07",258375,183005,75370
"2019M08",202126,138972,63154
"2019M09",209917,178221,31696
"2019M10",113884,78865,35019
"2019M11",176197,84633,91564
"2019M12",509852,102183,407669
"2020M01",383577,87883,295694
"2020M02",414816,126185,288631
"2020M03",246770,127535,119235
"2020M04",19323,18654,669
"2020M05",18309,17573,736
"2020M06",81842,77517,4325
"2020M07",229388,209479,19909
"2020M08",157739,142333,15406
"2020M09",198135,189520,8615
"2020M10",86554,82794,3760
"2020M11",76410,67112,9298
"2020M12",139578,130096,9482
"2021M01",109942,103177,6765
"2021M02",144842,133483,11359
"2021M03",186643,176830,9813
"2021M04",168097,163874,4223
"2021M05",47391,44651,2740
"2021M06",146262,137987,8275
"2021M07",291204,273955,17249
"2021M08",213118,185782,27336
"2021M09",267091,246295,20796
"2021M10",120724,102997,17727
"2021M11",156634,89302,67332
"2021M12",493289,130111,363178
"2022M01",312128,99959,212169
"2022M02",370745,133263,237482
"2022M03",405667,226316,179351
"2022M04",248877,216383,32494
"2022M05",59947,49802,10145
"2022M06",159016,117310,41706
"2022M07",255052,193257,61795
"2022M08",200079,147965,52114
"2022M09",231926,204951,26975
"2022M10",116790,87740,29050
"2022M11",188959,87626,101333
"2022M12",556805,110749,446056
"2023M01",397478,102544,294934
"2023M02",432884,122153,310731
"2023M03",433574,209076,224498
"2023M04",238304,193194,45110
"2023M05",70057,50210,19847
"2023M06",173221,122844,50377
"2023M07",266011,199050,66961
"2023M08",194023,140411,53612
"2023M09",232708,200361,32347
"2023M10",125455,86586,38869
"2023M11",215230,83022,132208
"2023M12",569625,93084,476541
"2024M01",417217,76207,341010
"2024M02",465891,105405,360486
"2024M03",447210,176336,270874
"2024M04",193289,150981,42308
"2024M05",65009,49547,15462
"2024M06",165522,119569,45953
"2024M07",253533,189787,63746
"2024M08",190612,134674,55938
"2024M09",221806,176722,45084
"2024M10",132240,75509,56731
"2024M11",225318,66700,158618
"2024M12",595565,73519,522046
"2025M01*",426010,64170,361840
"2025M02*",459793,87034,372759
"2025M03*",424600,151198,273402
